DNI;CantidadBultos;PesoTotal;VolumenTotal
29841927;1;11.7;0.17
31314702;2;23.0;0.14
44900177;1;13.8;0.08
38703994;2;18.7;0.11
25640788;2;13.6;0.16
38370226;3;11.7;0.17
38190779;1;10.5;0.16
45739829;3;23.1;0.18
52720706;1;11.2;0.18
57696983;1;12.5;0.14
30704437;1;16.5;0.23
24909508;3;26.9;0.12
42701929;2;10.2;0.14
42072497;3;27.3;0.23
48051584;3;10.2;0.21
31882266;1;30.5;0.19
29848940;2;18.8;0.07
45710351;2;30.5;0.23
49071147;2;21.9;0.19
34407646;2;25.0;0.25
25684305;1;8.9;0.08
28079684;2;14.5;0.22
41822589;1;10.8;0.08
49610507;1;14.8;0.17
28498365;2;10.7;0.07
20091495;3;15.3;0.22
20883405;1;17.5;0.21
54100211;3;9.5;0.16
58585172;1;23.9;0.13
57323453;2;21.0;0.06
53222576;2;14.1;0.19
39560996;3;20.0;0.14
58428085;1;10.2;0.19
20103943;2;21.2;0.22
53569914;2;29.4;0.25
32207482;2;15.3;0.22
30394289;1;23.4;0.05
34235361;3;11.0;0.12
58575907;1;24.5;0.2
33700279;3;14.7;0.08
21509854;3;12.2;0.15
34377959;1;21.5;0.06
52874783;3;8.5;0.09
57406944;1;27.1;0.05
45812495;1;8.1;0.21
22758136;1;23.6;0.09
36123672;2;14.2;0.12
21972462;2;24.9;0.24
50870766;3;30.1;0.19
47685671;1;13.7;0.06
24658854;1;21.3;0.08
38157857;2;21.6;0.17
57317835;1;21.2;0.17
30198710;2;13.1;0.1
32459001;3;29.9;0.24
42445866;3;18.3;0.17
34083577;1;27.5;0.16
21234160;2;24.1;0.17
45002385;2;14.8;0.2
29914188;2;26.7;0.11
20739882;2;17.1;0.13
25062417;3;28.3;0.09
21062165;3;21.4;0.09
55475107;3;28.3;0.24
21319084;1;23.9;0.2
45955994;3;24.7;0.15
30661282;2;19.5;0.1
30277064;1;30.0;0.1
37900661;2;22.8;0.06
44906772;3;17.7;0.14
23391002;1;21.9;0.11
38654004;1;8.4;0.19
55625984;3;14.9;0.13
39215825;1;23.2;0.09
34651013;1;14.7;0.05
40447090;2;9.9;0.1
55945105;1;29.1;0.24
45377276;1;28.9;0.11
48718511;2;14.9;0.1
57178506;2;21.4;0.07
32413875;1;21.0;0.16
23786283;1;22.1;0.13
27632998;2;30.0;0.12
44846218;1;14.0;0.21
52801797;2;13.3;0.11
59000893;1;20.3;0.19
56885813;3;29.8;0.17
28787686;2;19.3;0.14
28988719;3;20.4;0.2
32038879;1;25.6;0.14
37687605;3;9.0;0.14
57549163;2;11.2;0.12
20797297;3;26.2;0.08
46672665;1;8.7;0.24
38736528;1;28.3;0.23
34338025;3;20.4;0.21
43313130;1;18.3;0.17
42434179;2;28.5;0.06
45438723;3;16.7;0.18
53746486;3;20.4;0.08
35435958;1;23.0;0.11
27553077;2;16.3;0.12
21830252;2;21.1;0.1
41605109;3;22.7;0.06
43477743;1;10.9;0.08
46315787;3;23.9;0.08
54686915;2;22.9;0.24
31567425;2;16.1;0.12
25183580;2;25.6;0.06
24954051;2;16.2;0.2
43520079;3;25.3;0.11
53223089;2;28.3;0.09
27661229;2;8.3;0.25
28239648;1;19.5;0.23
51013733;1;9.7;0.2
59197278;2;26.1;0.18
25926993;1;9.5;0.06
49510921;1;16.2;0.21
39429615;2;29.7;0.2
22482497;3;16.7;0.14
38018730;2;25.5;0.16
33783997;1;25.7;0.07
44893125;3;14.9;0.08
31581404;3;25.8;0.15
43973058;2;11.5;0.09
57996036;2;21.3;0.23
35776962;2;8.2;0.14
37836276;1;24.3;0.08
31185993;1;18.8;0.2
35736060;2;25.6;0.09
36733669;1;18.8;0.06
46274478;3;14.2;0.07
52627784;1;27.1;0.08
54106998;1;20.7;0.12
45225588;2;9.6;0.07
38818451;2;18.9;0.08
48529394;3;25.1;0.24
59556317;1;12.4;0.17
46258687;1;18.7;0.22
50697272;2;13.3;0.17
34866469;3;19.7;0.11
32128336;3;12.8;0.2
40389055;2;9.1;0.15
27802204;1;19.9;0.2
44481485;3;12.0;0.08
28913826;2;17.1;0.19
48791482;3;10.5;0.14
52052969;2;19.7;0.2
24319044;1;10.3;0.2
29084640;2;14.6;0.13
