DNI;CantidadBultos;PesoTotal;VolumenTotal
29841927;1;11.7;0.17
31314702;2;23.0;0.14
44900177;1;13.8;0.08
38703994;2;18.7;0.11
25640788;2;13.6;0.16
38370226;3;11.7;0.17
38190779;1;10.5;0.16
45739829;3;23.1;0.18
52720706;1;11.2;0.18
57696983;1;12.5;0.14
30704437;1;16.5;0.23
24909508;3;26.9;0.12
42701929;2;10.2;0.14
42072497;3;27.3;0.23
48051584;3;10.2;0.21
31882266;1;30.5;0.19
29848940;2;18.8;0.07
45710351;2;30.5;0.23
49071147;2;21.9;0.19
34407646;2;25.0;0.25
25684305;1;8.9;0.08
28079684;2;14.5;0.22
41822589;1;10.8;0.08
49610507;1;14.8;0.17
28498365;2;10.7;0.07
20091495;3;15.3;0.22
20883405;1;17.5;0.21
54100211;3;9.5;0.16
58585172;1;23.9;0.13
57323453;2;21.0;0.06
53222576;2;14.1;0.19
39560996;3;20.0;0.14
58428085;1;10.2;0.19
20103943;2;21.2;0.22
53569914;2;29.4;0.25
32207482;2;15.3;0.22
30394289;1;23.4;0.05
34235361;3;11.0;0.12
58575907;1;24.5;0.2
33700279;3;14.7;0.08
21509854;3;12.2;0.15
34377959;1;21.5;0.06
52874783;3;8.5;0.09
57406944;1;27.1;0.05
45812495;1;8.1;0.21
22758136;1;23.6;0.09
36123672;2;14.2;0.12
21972462;2;24.9;0.24
50870766;3;30.1;0.19
47685671;1;13.7;0.06
